response_id,ease_of_organisation_reason
GEN24_1078267,Currency and Holiday timing due to work
GEN24_1078448,Importing our ship's cat
GEN24_1078822,Wanting to see as much as possible at a reasonable cost. Making the most cost efficient choices to maximize what we were visiting.
GEN24_1079219,é›»è»ŠãŒãªã„
GEN24_1082265,ìŒì‹ë¬¼ ì‹ ê³  ì¤€ë¹„
GEN24_1083139,Trying to decide the places we really wanted to visit during our time in NZ.
GEN24_1085676,Flights seem to be biased towards having to travel to Auckland.  This made me miss connecting flights largely due to Qantas being late as usual and hence I missed the passing of my father
GEN24_1086219,find company that would organize our visit
GEN24_1086716,Getting our bikes to Wellington & home due to two different air operators
GEN24_1086851,Transportation when on my own
GEN24_1086871,Most campgrounds were fully booked months in advance during the xmas holidays
GEN24_1088422,"Accommodation- bookings.com says they are always getting full ""last one available"". Then when you get there, some were available."
GEN24_1088791,"El conjunto global en sí mismo, no es sencillo"
GEN24_1088846,????
GEN24_1089702,Visa app did not guide me to correct choice costing extra $200
GEN24_1090232,Local travel
GEN24_1090467,"I had specific day trips I wanted to go on, and needed to book hotels that picked up from that area specifically, which limited my choices"
GEN24_1091458,Get the free time for the trip.
GEN24_1092607,Deciding what to do with our time
GEN24_1093934,International driving permit
GEN24_1095304,Deciding the optimum itinerary
GEN24_1096278,NZ is so lovely and there are so many things to do that making an itinerary was a challenge. There were no barriers from NZ or government institutions. The travel visa process was easy.
GEN24_1096481,Choosing between all the many things to do in a short time
GEN24_1096868,??????????
GEN24_1097154,Mostly the cost
GEN24_1097225,You have to book online a lot so you always need electricity and internet  and then the wheather is bad and you have to cancel it. So lots of bookings and cancelations.
GEN24_1097297,How to experience day hikes at our fitness level on both islands in amount of time logically
GEN24_1097721,On s'y est pris 9 mois avant et on a beaucoup travaillé à  lorganisation. Beaucoup de retours. Toujours peur d'oublier quelque chose
GEN24_1097838,trying to find a way to visit the most impressing/beautifull regions
GEN24_1098600,Wine touring
GEN24_1099472,Planning
GEN24_1099474,"I tried to go right before COVID, and kind of lost my shot at a working holiday visa because of rigid immigration policy. I came on a visitor visa this time so I could still walk the TA"
GEN24_1099495,Registration with New Zealand Medical Council
GEN24_1099667,Working out how best to use time to see more
GEN24_1100906,Coordinating and ascertaining travel time and my priority destinations and activities
GEN24_1101297,dealing with a compnay that brokered out to a NZ company for the Alps to ocean bike ride tour
GEN24_1101651,Finding longterm accommodation and a casual job
GEN24_1102377,Sometimes my credit card failed to be verified at online booking such as scenic trains
GEN24_1103515,Just planning what to do as there was a lot to choose from
GEN24_1103598,??
GEN24_1103833,Son’s attitude
GEN24_1104848,"?????,?????????????????,????????????????!"
GEN24_1105111,Visitors firearms licence
GEN24_1105546,????
GEN24_1105589,clothing
GEN24_1108786,????????????????????????
GEN24_1109483,and there are too many places or things we would like to experience in NEW ZEALAND in a short holiday time
GEN24_1111695,"La difficulté a plutôt été d'organiser étape par étape une long voyage à l'autre bout du monde, sinon toutes les informations nécessaires étaient facilement trouvables"
GEN24_26145,Had to book travel through my work travel portal.
GEN24_28128,"Uncertainties about the weather, information not being timely enough"
GEN24_28736,The time taken to travel between locations and petrol cost management
GEN24_29088,"Wife is coeliac - very few restaurants provide gluten-free information online, so it was difficult to plan for food."
GEN24_29499,deciding where and what to include and exclude for the limited time I Have in NZ
GEN24_30371,Work related / company
GEN24_30542,???? ????? ?? ???? ?? ???
GEN24_32910,??????????????
